Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
109,Stephon Castle,20,SAS,PG,69,35,25.8,5.0,11.7,.428,1.2,4.0,.287,3.9,7.7,.502,.477,2.8,3.9,.725,1.0,2.3,3.2,3.6,1.0,0.3,2.0,2.0,14.0,,castlst01
110,Josh Giddey,22,CHI,PG,62,61,29.8,5.1,11.0,.466,1.5,3.9,.379,3.7,7.1,.515,.534,2.2,2.8,.785,1.7,6.0,7.7,6.9,1.2,0.6,2.7,1.7,14.0,,giddejo01
111,Amen Thompson,22,HOU,SF,62,35,32.5,5.5,10.1,.551,0.3,1.3,.263,5.2,8.8,.594,.568,2.6,3.8,.681,2.8,5.5,8.3,3.6,1.4,1.3,2.1,2.4,14.0,,thompam01
112,Dyson Daniels,21,ATL,SG,66,66,33.9,5.9,12.2,.483,1.1,3.1,.341,4.8,9.1,.532,.527,1.1,1.9,.587,1.6,4.1,5.7,4.3,3.1,0.7,2.0,2.4,13.9,,daniedy01
113,Josh Hart,29,NYK,SG,67,67,37.7,5.3,10.1,.531,1.1,3.3,.335,4.2,6.8,.627,.586,2.1,2.7,.789,2.2,7.5,9.7,5.7,1.5,0.4,2.1,2.6,13.9,,hartjo01
114,Quentin Grimes,24,2TM,SG,67,29,25.9,4.9,10.2,.480,2.1,5.2,.393,2.9,5.0,.572,.581,1.9,2.5,.747,0.8,3.4,4.2,2.8,1.0,0.3,1.8,1.8,13.8,,grimequ01
114,Quentin Grimes,24,DAL,SG,47,12,22.8,3.6,7.8,.463,1.7,4.3,.398,1.9,3.5,.543,.573,1.3,1.7,.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2,,grimequ01
114,Quentin Grimes,24,PHI,SG,20,17,33.4,8.0,16.0,.500,2.9,7.5,.387,5.1,8.5,.600,.591,3.3,4.5,.730,1.1,4.1,5.1,4.3,1.6,0.6,2.9,2.3,22.2,,grimequ01
115,Tobias Harris,32,DET,PF,68,68,32.2,5.3,11.3,.473,1.2,3.6,.331,4.1,7.6,.542,.527,2.0,2.3,.864,0.9,5.1,6.0,2.2,1.0,0.8,1.1,1.9,13.8,,harrito02
116,Bobby Portis,29,MIL,PF,46,7,25.2,5.6,12.1,.463,1.3,3.6,.364,4.3,8.5,.505,.517,1.2,1.5,.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9,13.7,,portibo01
117,Jarrett Allen,26,CLE,C,71,71,28.6,5.5,7.9,.703,0.0,0.1,.000,5.5,7.8,.708,.703,2.5,3.4,.726,2.6,7.4,10.0,2.0,1.0,1.0,1.2,1.6,13.5,,allenja01
118,Dennis Schröder,31,3TM,PG,66,42,27.5,4.6,11.1,.413,1.8,5.1,.352,2.8,6.0,.466,.495,2.3,2.8,.842,0.3,2.2,2.5,5.3,1.0,0.2,2.0,2.4,13.3,,schrode01
118,Dennis Schröder,31,BRK,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,,schrode01
118,Dennis Schröder,31,GSW,SG,24,18,26.2,3.9,10.5,.375,1.5,4.8,.322,2.4,5.7,.419,.448,1.2,1.6,.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6,,schrode01
118,Dennis Schröder,31,DET,PG,19,1,21.9,3.3,8.3,.395,1.3,3.8,.329,2.0,4.4,.452,.471,2.8,3.3,.841,0.4,1.9,2.3,4.8,0.6,0.3,1.2,1.7,10.6,,schrode01
119,Russell Westbrook,36,DEN,PG,65,35,28.2,5.0,11.0,.457,1.3,3.8,.341,3.7,7.2,.518,.516,1.9,2.9,.640,1.5,3.6,5.0,6.2,1.4,0.5,3.2,2.6,13.2,,westbru01
120,Rui Hachimura,26,LAL,PF,51,50,31.8,5.0,9.9,.504,1.7,4.1,.407,3.3,5.8,.572,.588,1.5,1.9,.765,1.4,3.7,5.2,1.5,0.8,0.5,0.9,1.8,13.1,,hachiru01
121,D'Angelo Russell,28,2TM,PG,54,32,25.8,4.4,11.2,.395,2.0,6.3,.316,2.5,5.0,.496,.484,2.2,2.6,.836,0.3,2.4,2.8,5.2,1.0,0.4,1.9,2.0,13.0,,russeda01
121,D'Angelo Russell,28,LAL,PG,29,10,26.3,4.4,10.7,.415,1.9,5.8,.333,2.5,4.9,.510,.505,1.6,1.8,.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,,russeda01
121,D'Angelo Russell,28,BRK,PG,25,22,25.2,4.4,11.8,.375,2.0,6.8,.298,2.4,5.0,.480,.461,2.9,3.5,.828,0.4,2.4,2.8,5.8,1.2,0.7,2.0,2.2,13.8,,russeda01
122,Onyeka Okongwu,24,ATL,C,64,30,26.9,5.2,9.0,.577,0.6,1.7,.327,4.6,7.3,.636,.608,2.1,2.8,.746,3.0,5.6,8.6,2.3,0.9,1.0,1.1,2.5,13.0,,okongon01
123,Naji Marshall,27,DAL,SF,58,24,26.9,5.1,10.1,.499,0.9,3.3,.277,4.1,6.8,.606,.544,1.9,2.3,.820,1.2,3.7,4.8,2.9,1.1,0.2,1.6,1.5,12.9,,marshna01
124,Moritz Wagner,27,ORL,C,30,1,18.8,4.7,8.3,.562,0.9,2.5,.360,3.8,5.8,.649,.616,2.6,3.7,.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,,wagnemo01
